Spin by Robert Charles Wilson (2006) | Science fiction
Learning the World by Ken MacLeod (2006) | Science fiction
A Feast for Crows by George R. R. Martin (2006) | Fantasy
Old Man's War by John Scalzi (2006) | Military science fiction
Accelerando by Charles Stross (2006) | short stories
Rainbows End by Vernor Vinge (2007) | Science fiction novel
Glasshouse by Charles Stross (2007) | unknown
His Majesty's Dragon by Naomi Novik (2007) | Alternate history
Eifelheim by Michael F. Flynn (2007) | Science fiction
Blindsight by Peter Watts (2007) | Science fiction novel
The Yiddish Policemen's Union by Michael Chabon (2008) | Novel
The Last Colony by John Scalzi (2008) | Science fiction
Halting State by Charles Stross (2008) | unknown
Rollback by Robert J. Sawyer (2008) | Science fiction
Brasyl by Ian McDonald (2008) | Novel
The Graveyard Book by Neil Gaiman (2009) | Children's
Little Brother by Cory Doctorow (2009) | unknown
Anathem by Neal Stephenson (2009) | Science fiction
Saturn's Children by Charles Stross (2009) | Science fiction
Zoe's Tale by John Scalzi (2009) | Science fiction
The Windup Girl by Paolo Bacigalupi (2010) | Science fiction
The City & the City by China Miéville (2010) | Crime
Boneshaker by Cherie Priest (2010) | Science fiction novel
Wake by Robert J. Sawyer (2010) | Science fiction
Palimpsest by Catherynne M. Valente (2010) | Fiction
Julian Comstock: A Story of 22nd-Century America by Robert Charles Wilson (2010) | Fiction
Blackout/All Clear by Connie Willis (2011) | Science fiction
Cryoburn by Lois McMaster Bujold (2011) | Science fiction
The Dervish House by Ian McDonald (2011) | Historical novel
Feed by Mira Grant (2011) | Science fiction
The Hundred Thousand Kingdoms by N. K. Jemisin (2011) | Fantasy
Among Others by Jo Walton (2012) | Fantasy literature
A Dance with Dragons by George R. R. Martin (2012) | Fantasy
Deadline by Mira Grant (2012) | Science fiction
Embassytown by China Miéville (2012) | unknown
Leviathan Wakes by James S. A. Corey (2012) | Science fiction
Redshirts by John Scalzi (2013) | Comic science fiction
2312 by Kim Stanley Robinson (2013) | Sci-fi
Blackout by Mira Grant (2013) | Science fiction
Captain Vorpatril's Alliance by Lois McMaster Bujold (2013) | Science fiction
Throne of the Crescent Moon by Saladin Ahmed (2013) | fantasy
